byte_index,bit_index,current_byte,current_state,supplied_reference_byte,supplied_reference_state,differs_from_supplied_reference,candidate_label,candidate_confidence,candidate_source,carista_keys,carista_labels,mapping_status,read_method,write_method,tested_status,notes
1,2,B8,clear,B8,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,3,B8,set,B8,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,4,B8,set,B8,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,5,B8,set,B8,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,6,B8,clear,B8,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,7,B8,set,B8,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,0,2B,set,2B,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,1,2B,set,2B,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,2,2B,clear,2B,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,3,2B,set,2B,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,4,2B,clear,2B,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,5,2B,set,2B,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,6,2B,clear,2B,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
2,7,2B,clear,2B,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,0,9F,set,9F,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,1,9F,set,9F,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,2,9F,set,9F,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,3,9F,set,9F,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,4,9F,set,9F,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,5,9F,clear,9F,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,6,9F,clear,9F,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
3,7,9F,set,9F,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,0,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,1,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,2,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,3,08,set,08,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,4,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,5,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,6,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
4,7,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,0,A1,set,A1,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,1,A1,clear,A1,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,2,A1,clear,A1,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,3,A1,clear,A1,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,4,A1,clear,A1,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,5,A1,set,A1,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,6,A1,clear,A1,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
5,7,A1,set,A1,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,0,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,1,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,2,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,3,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,4,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,5,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,6,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
6,7,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,0,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,1,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,2,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,3,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,4,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,5,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,6,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
7,7,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,0,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,1,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,2,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,3,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,4,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,5,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,6,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
8,7,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,0,30,clear,30,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,1,30,clear,30,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,2,30,clear,30,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,3,30,clear,30,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,4,30,set,30,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,5,30,set,30,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,6,30,clear,30,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
9,7,30,clear,30,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,0,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,1,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,2,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,3,08,set,08,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,4,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,5,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,6,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
10,7,08,clear,08,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,0,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,1,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,2,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,3,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,4,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,5,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,6,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
11,7,00,clear,00,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,0,2C,clear,6C,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,1,2C,clear,6C,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,2,2C,set,6C,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,3,2C,set,6C,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,4,2C,clear,6C,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,5,2C,set,6C,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
12,6,2C,clear,6C,set,True,Turn/Cornering Lights installed/active; Carista maps this to cornering lights using fog lights,high,obd-on-pc\lcode\pq25_6r0_937_08x_cornering_candidates.xpl,car_setting_cornering_lights_via_fogs; car_setting_cornering_lights_via_fogs_experimental; car_setting_use_cornering_lights,Cornering lights (using fog lights); Cornering lights (using fog lights) (experimental); Use cornering lights…,mapped_to_long_coding_candidate_but_live_behavior_ruled_out; mapped_to_same_bit_as_cornering_lights_via_fogs,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",live written both ways and behavior unchanged; do not retest blindly,"Base fog/cornering enable family. It alone does not explain the delayed front-fog indicator behavior.; Older/experimental label for the same base fog-cornering function.; Use the recovered VAG car_setting_cornering_lights_via_fogs branch for PQ25 evidence, not this direct label."
12,7,2C,clear,6C,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
13,0,68,clear,68,clear,False,Parking Lights ON only without ignition ON possible,medium,obd-on-pc\lcode\pq25_6r0_937_08x_cornering_candidates.xpl,,,long_coding_candidate_without_recovered_carista_setting,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",not live-isolated,"Candidate label exists, but no exact Carista Setting object/key is recovered."
13,1,68,clear,68,clear,False,Parking Lights Function active,medium,obd-on-pc\lcode\pq25_6r0_937_08x_cornering_candidates.xpl,,,long_coding_candidate_without_recovered_carista_setting,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",not live-isolated,"Candidate label exists, but no exact Carista Setting object/key is recovered."
13,2,68,clear,68,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
13,3,68,set,68,set,False,Brake Light Activation via Body Control Module (BCM),medium,obd-on-pc\lcode\pq25_6r0_937_08x_cornering_candidates.xpl,,,long_coding_candidate_without_recovered_carista_setting,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",not live-isolated,"Candidate label exists, but no exact Carista Setting object/key is recovered."
13,4,68,clear,68,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
13,5,68,set,68,set,False,Interior Light Enabling via Rear Lid,medium,obd-on-pc\lcode\pq25_6r0_937_08x_cornering_candidates.xpl,,,long_coding_candidate_without_recovered_carista_setting,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",not live-isolated,"Candidate label exists, but no exact Carista Setting object/key is recovered."
13,6,68,set,68,set,False,"Coming-Home/Leaving-Home variant; external labels say 0=fog lights,1=low beam",medium,obd-on-pc\lcode\pq25_6r0_937_08x_cornering_candidates.xpl,car_setting_coming_home_via_fogs; car_setting_coming_home_via_low_beams; car_setting_coming_leaving_home_output,Use fog lights as coming-home lights; Use low beams as coming-home lights; Coming/leaving-home lights use…,mapped_to_external_pq25_candidate,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",not live-isolated,"Coming/leaving-home output selector, not front-fog command timing.; Coming/leaving-home output selector.; Same candidate bit as coming-home via fogs, interpreted as the alternate choice."
13,7,68,clear,68,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
14,0,0E,clear,0E,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
14,1,0E,set,0E,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
14,2,0E,set,0E,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
14,3,0E,set,0E,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
