key,label,resource_id,native_va,native_string_found,category,value_hint,pq25_location,current_state,known_good_state,current_value6,target_value6,pending_write_target,raw_value_key,raw_address4,coding_type,tail_bytes,write_tuple_status,confidence,notes
car_setting_12428_miles_12_months,12428 miles (~20000km) 12 months,0x7f1403f8,0x008D208F,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12500_miles_12_months,12500 miles (~20000km) 12 months,0x7f1403f9,0x008D20B1,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_18v,12.18 volts,0x7f1403fa,0x00754233,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_1v,12.1 volts,0x7f1403fb,0x0088BEA3,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_2v,12.2 volts,0x7f1403fc,0x00691CDD,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_3v,12.3 volts,0x7f1403fd,0x00835915,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_4v,12.4 volts,0x7f1403fe,0x0097D631,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_5v,12.5 volts,0x7f1403ff,0x00769705,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_6v,12.6 volts,0x7f140400,0x008A0A66,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_7v,12.7 volts,0x7f140401,0x0081F332,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_8v,12.8 volts,0x7f140402,0x009D4E1A,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12_9v,12.9 volts,0x7f140403,0x00C52340,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_12w_general_light_bulb,12W general light bulb,0x7f140404,0x008FE393,True,lighting_general,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_135i,135i,0x7f140405,0x0097F312,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_1v,13.1 volts,0x7f140406,0x0092DEE2,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_2v,13.2 volts,0x7f140407,0x00691CEF,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_3v,13.3 volts,0x7f140408,0x00C380E6,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_4v,13.4 volts,0x7f140409,0x007202E1,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_5v,13.5 volts,0x7f14040a,0x00AA4CE3,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_6v,13.6 volts,0x7f14040b,0x0074FC97,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13_7v,13.7 volts,0x7f14040c,0x007F6E28,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_13v,13 volts,0x7f14040d,0x00691CA7,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_140i,140i,0x7f14040e,0x008CCB4F,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_alarm,1 Alarm,0x7f14040f,0x00793337,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_flash_until_cancelled_variant_1,1 flash - must be manually turned off after cornering (variant 1),0x7f140410,0x00B3F3BD,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_flash_until_cancelled_variant_2,1 flash - must be manually turned off after cornering (variant 2),0x7f140411,0x00B72C15,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_flashes,1 flash,0x7f140412,0x0077F8BD,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_flashes_variant_1,1 flash (variant 1),0x7f140413,0x009C58A3,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_flashes_variant_2,1 flash (variant 2),0x7f140414,0x00AAAE37,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_horn,1 horn,0x7f140415,0x00C52375,True,sound_chime,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_motion,"""One motion""",0x7f140416,0x0089F63D,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_motion_mode,"Open rear hatch via ""One motion"" remote",0x7f140417,0x0089F652,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_motion_mode_acc,"Open rear hatch via ""One motion"" when ignition is on",0x7f140418,0x006C00CB,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1_touch_windows_after_ignition_off,Allow 1-touch window operation after ignition is turned off,0x7f140419,0x00A4847C,True,windows_mirrors,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_2,2,0x7f14041a,0x008E8E06,True,app_catalog,choice/value label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_21w_rear_fog_bulb,21W rear fog bulb,0x7f14041b,0x006C1667,True,lighting_fog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_235i,235i,0x7f14041c,0x009DA5BC,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_240i,240i,0x7f14041d,0x00AC6E5C,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_27w_general_light_bulb,27W general light bulb also H15,0x7f14041e,0x00ADA716,True,lighting_general,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_2_6w,2* 6W,0x7f14041f,0x0092DE49,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_2_flashes,2 flashes,0x7f140420,0x00A61341,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_2_flashes_until_cancelled,2 flashes - must be manually turned off after cornering,0x7f140421,0x006CBD1F,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_3,3,0x7f140422,0x00A0656A,True,app_catalog,choice/value label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_3000_miles_6_months,3000 miles (~5000km) 6 months,0x7f140423,0x006982E2,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_340i,340i,0x7f140424,0x00BDF2C5,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_3_5w,3* 5W,0x7f140425,0x008A09F5,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_3_flashes,3 flashes,0x7f140426,0x007F83CE,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_3_flashes_until_cancelled,3 flashes - must be manually turned off after cornering,0x7f140427,0x008EECA0,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_4,4,0x7f140428,0x00BA71FF,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_4_3w,4* 3W,0x7f140429,0x008FE3E1,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_4_5w,4* 5W,0x7f14042a,0x00BBC2D4,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_4_flashes,4 flashes,0x7f14042b,0x00919EFB,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_4_flashes_until_cancelled,4 flashes - must be manually turned off after cornering,0x7f14042c,0x00C42ADD,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_4v,4 volts,0x7f14042d,0x007542CD,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_5,5,0x7f14042e,0x00918758,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_5000_miles_6_months,5000 miles (~8000km) or 6 months,0x7f14042f,0x00B72AAF,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_50d,50d,0x7f140430,0x009C0DF2,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_5_697v,5.697 volts,0x7f140431,0x008CAC79,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_5_873v,5.873 volts,0x7f140432,0x0077DC02,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_5_flashes,5 flashes,0x7f140433,0x00B5477B,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_5_flashes_until_cancelled,5 flashes - must be manually turned off after cornering,0x7f140434,0x00725F8C,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6,6,0x7f140435,0x006C5AD8,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6412_miles_6_months,6412 miles (~10000km) 6 months,0x7f140436,0x00698302,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_198v,6.198 volts,0x7f140437,0x00B6C8BB,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_202v,6.202 volts,0x7f140438,0x007F6E61,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_299v,6.299 volts,0x7f140439,0x00BA71EC,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_602v,6.602 volts,0x7f14043a,0x00A06531,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_699v,6.699 volts,0x7f14043b,0x009BF9CE,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_818v,6.818 volts,0x7f14043c,0x00C22FB2,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_897v,6.897 volts,0x7f14043d,0x00A46B70,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_998v,6.998 volts,0x7f14043e,0x00AC5E45,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_flashes,6 flashes,0x7f14043f,0x006C7559,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6_flashes_until_cancelled,6 flashes - must be manually turned off after cornering,0x7f140440,0x00937F5E,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6v,6 volts,0x7f140441,0x007542DC,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_6w_general_incandescent_lamp,6W general incandescent lamp,0x7f140442,0x009EEAD2,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7,7,0x7f140443,0x00B39145,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7500_miles_12_months,7500 miles (~12000km) 12 months,0x7f140444,0x00AAAC4C,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7500_miles_6_months,7500 miles (~12000km) 6 months,0x7f140445,0x00AAAC2C,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7_297v,7.297 volts,0x7f140446,0x007F6E4E,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7_2v,7.2 volts,0x7f140447,0x00AC5E21,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7_499v,7.499 volts,0x7f140448,0x00B52E08,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7_697v,7.697 volts,0x7f140449,0x00C5F621,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7_flashes,7 flashes,0x7f14044a,0x006AD533,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_7_flashes_until_cancelled,7 flashes - must be manually turned off after cornering,0x7f14044b,0x007FD394,True,lighting_cornering,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_8,8,0x7f14044c,0x00B81CF4,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_8_198v,8.198 volts,0x7f14044d,0x008E8E14,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_8_4v,8.4 volts,0x7f14044e,0x00A065A0,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_8_998v,8.998 volts,0x7f14044f,0x00AC5E32,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_8v,8 volts,0x7f140450,0x009187CB,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_9,9,0x7f140451,0x00A5BA69,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_9321_miles_12_months,9321 miles (~15000km) 12 months,0x7f140452,0x00937E2F,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_9321_miles_6_months,9321 miles (~15000km) 6 months,0x7f140453,0x00B8BE7A,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_9_2v,9.2 volts,0x7f140454,0x008CABBA,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_9_697v,9.697 volts,0x7f140455,0x008E8DD3,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_9_flashes,9 flashes,0x7f140456,0x00734010,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_abort_one_touch_window_movement,Stop one-touch window movement after a door is opened,0x7f140457,0x00A5BB3D,True,locking,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_abort_one_touch_window_movement_method_a,Stop one-touch window movement after a door is opened (method A),0x7f140458,0x00C5F7A9,True,locking,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_abort_one_touch_window_movement_method_b,Stop one-touch window movement after a door is opened (method B),0x7f140459,0x0072046D,True,locking,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_ac_air_volume,A/C air volume,0x7f14045a,0x00AB991B,True,comfort,numeric setting label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_ac_auto_footwell,Open air flow to footwell when AUTO button pressed,0x7f14045b,0x006D93DA,True,comfort,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_ac_blower_speed_startup,A/C blower speed at start-up,0x7f14045c,0x0089F3F6,True,comfort,numeric setting label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
